"CustomerID";"ContactID";"ContactTypeID";"rowguid";"ModifiedDate"
1;322;11;0xDFC5D2E0F764744FBE9068069E9863B3;01/08/2001 00:00:00
2;369;15;0x7FF0CF2E67458846B3AD3007E128F95A;01/08/2002 00:00:00
2;791;11;0x937CBF423D483545892AE6EBE20C0147;01/08/2002 00:00:00
3;176;14;0xD4095F770EECA34B9F20253CC0E63576;01/09/2001 00:00:00
3;916;15;0xD4650189CDF61642AFFE76F4DD5C1573;01/09/2001 00:00:00
4;321;11;0xC85B359081F2D34AAC677283CFEEE000;01/07/2002 00:00:00
5;368;15;0x57D9616BE3468E419F8C6FCCA8E0A558;01/09/2002 00:00:00
5;792;14;0x4E555CB695730E49822C2C69B84E3604;01/09/2002 00:00:00
6;177;14;0x06F71D858328E94C91DAE7AFF26B5635;01/09/2003 00:00:00
6;917;11;0x123F20230E6F114E83AC5090BFFF4E12;01/09/2003 00:00:00
7;320;11;0x075A367969C6B5498910B3E3A697F1EF;01/07/2002 00:00:00
8;367;15;0x879A73CE3A0B0D42A5F67D3488955A8C;01/08/2003 00:00:00
8;793;11;0x152D45E2A5D0BA49AFF9CBB393E53B2D;01/08/2003 00:00:00
9;165;14;0xF15156972F2D0F41A0C1DE1C51DA4F98;01/11/2002 00:00:00
9;918;15;0xC922B87F39D6D4438785D3E69811006F;01/11/2002 00:00:00
10;319;11;0x9D18D42A4A5AB2469B04976878C15C90;01/09/2002 00:00:00
11;366;15;0x1ADB9B07614928429A2E6C70768E51EB;01/08/2001 00:00:00
11;794;14;0x119959FBA9D23842AF63F92D0884A642;01/08/2001 00:00:00
12;166;14;0xD3D5E335D85FD84EBC0689C2F6632BE7;01/08/2002 00:00:00
12;919;15;0x28A54EFEAB866844A3FA26A857B95102;01/08/2002 00:00:00
13;72;11;0x88CE6D7996BC2948B2EC2616AEE96F39;01/08/2002 00:00:00
14;365;15;0x7F4A54D5B9C8A44CBE0B6B1A32E198BD;01/09/2003 00:00:00
14;795;11;0xF84D773C0967334C8F35A0B9ECFAD96D;01/09/2003 00:00:00
15;167;14;0x83871EF8C5BBD949B7E3C427F4D901C1;01/09/2003 00:00:00
15;920;11;0xFA34A2CEF5C2904DB24269FB4714A3F6;01/09/2003 00:00:00
16;71;11;0xAF0094DD1A64D44EAC6262B9247A5C15;01/09/2002 00:00:00
17;364;15;0x65813C62A65B414F8D34D2A537898F83;01/07/2001 00:00:00
17;796;11;0x5D2EA29591B1E944AF1D31C1233733E1;01/07/2001 00:00:00
18;521;14;0x80B55CE642AE6A48B1F56BBF40A5519E;01/08/2001 00:00:00
18;921;11;0xB3135C976EE01C41B100E221E754200C;01/08/2001 00:00:00
19;70;11;0x01078431B7062D43BF37D8E2B6D07422;01/04/2003 00:00:00
20;363;15;0xC5917ED04469D34A9F9D504A42A7AEE1;01/09/2001 00:00:00
20;797;14;0x3DDA0CF762A22C44A7E62603B715B714;01/09/2001 00:00:00
21;522;14;0xF1470636094A4842964CEF1B56A1BEE7;01/09/2002 00:00:00
21;922;15;0xDA725B81EF23DE498489D162B293680D;01/09/2002 00:00:00
22;102;11;0x9C154318ABEFA7489A6EAC3AC529DFED;01/08/2001 00:00:00
23;362;15;0xA492DB30034CC943AC0E44B83508A38A;01/09/2002 00:00:00
23;798;11;0x0243D8F1B2A40740A033E299345D6E67;01/09/2002 00:00:00
24;523;14;0x42034B6B5C712848BEEC361C7C6A13DD;01/09/2002 00:00:00
24;923;11;0x8FDC3F9B8D1CFF40AE4BE7208452C5CD;01/09/2002 00:00:00
25;101;11;0xBF7FCFB3569F444BAAED6EEB934CFE07;01/09/2002 00:00:00
26;361;15;0x4EAE3981167C7D45A6DAAAB5EA4F5135;01/12/2001 00:00:00
26;799;11;0x76891C8A1BC44E4C8D69214980172C9D;01/12/2001 00:00:00
27;524;14;0xFE158B1DEA748849AE1F16C66FC1D7A9;01/07/2001 00:00:00
27;924;15;0x40F4A4247A650B40BBFFC3430A363791;01/07/2001 00:00:00
28;100;11;0x7F7234EDAFDCCD468A7C1568FC872BFA;01/08/2003 00:00:00
29;360;15;0x5E1C8AB09E043240A1CD2097264272F8;01/08/2001 00:00:00
29;800;14;0xC45CEBFA1E274D48B038A73F7F9F5CEE;01/08/2001 00:00:00
30;525;14;0xE9ABF93362E4B34D9B0FFECC012A12CB;01/09/2002 00:00:00
30;925;11;0x8C577895C8CF0F4997EB6B42FA89AB21;01/09/2002 00:00:00
31;326;11;0x7A9929F7720C614391807B97E8E705E7;01/08/2003 00:00:00
32;359;15;0xCC1D72B3AAADF546890C7AA3F40A47C3;01/08/2003 00:00:00
32;901;11;0x323455448C991A49A4132CFA019BCE25;01/08/2003 00:00:00
33;526;14;0x0C10CE0CCC27F54EA14C09F3CDC244BC;01/09/2003 00:00:00
33;926;15;0x5EA556A25F8C3D4C91BADE0B5E655EAC;01/09/2003 00:00:00
34;325;11;0xA91A20984E93EF459F59C24E35E24B76;01/07/2003 00:00:00
35;358;15;0x6261D15F60761641A56F51AB443C2D9C;01/07/2003 00:00:00
35;902;11;0x18ED61D2FD3228478F70E83D29BB8378;01/07/2003 00:00:00
36;527;14;0xA33EC48D6FA9D4419A0AB43604A8DBC8;01/08/2001 00:00:00
36;927;11;0x6E0E45CFFA48E74FB0D3510910BBDCAC;01/08/2001 00:00:00
37;324;11;0x3B498A092F5F4E4B8428B1CD85B9D69B;01/09/2002 00:00:00
38;357;15;0xFA2DF4B2AFABD84F9B2178FD9D2738B6;01/09/2003 00:00:00
38;903;14;0xD0F0C08BDD8545438390142EFC363576;01/09/2003 00:00:00
39;528;14;0xE33D4CA41CABFF43A303C5270EE0076B;01/09/2002 00:00:00
39;928;15;0xEFB532572660F14394A96F96F1C14D6C;01/09/2002 00:00:00
40;323;11;0xF66B48927EB4FB408B497152E1E2B7D6;01/08/2001 00:00:00
41;356;15;0x68BD04521986D84AB31C070ADA85D746;01/07/2002 00:00:00
41;904;11;0x90C27482BC904041A896F46BF25B147B;01/07/2002 00:00:00
42;529;14;0x5E1E2C3FCA49B54AB8F49171BACF1AF6;01/07/2002 00:00:00
42;929;11;0x82E97AE669439C419FCF60548589EDFB;01/07/2002 00:00:00
43;500;11;0x2271DBD64D1EEA44A6A6494949085E19;01/08/2002 00:00:00
44;355;15;0x30395F8CB8385B48B02C679FF2C4D6C9;01/09/2003 00:00:00
44;905;11;0xB14433A92E48DC47A06D4BA7B8FE234A;01/09/2003 00:00:00
45;530;14;0x71E5B676F2107841AD755426098C6023;01/08/2001 00:00:00
45;930;15;0x7AF8D39CF3E250488B75847B657F1593;01/08/2001 00:00:00
46;499;11;0x159F449C6DF4984A8729F51291398ECF;01/12/2002 00:00:00
47;354;15;0x35A8C0410596EE4882AB7A19D416024B;01/09/2001 00:00:00
47;906;14;0xDE9869B671E60B45B586EA165E1BB3F7;01/09/2001 00:00:00
48;531;14;0x6BEED19008487F40B2E75376093B8203;01/09/2003 00:00:00
48;931;15;0x0E73B0235CC6954B8CF1733D453EA082;01/09/2003 00:00:00
49;498;11;0x144E2B94DFFF5949A3234D3399381C88;01/09/2003 00:00:00
