"SalesPersonID";"TerritoryID";"SalesQuota";"Bonus";"CommissionPct";"SalesYTD";"SalesLastYear";"rowguid";"ModifiedDate"
268;null;null;0,0;0,0;677558,465;0,0;0x92497548E09E0E4C8C949451604E3E02;28/01/2001 00:00:00
275;2;300000,0;4100,0;0,012;4557045,046;1750406,479;0x74720A1E6430584F88EE4C6586C87169;24/06/2001 00:00:00
276;4;250000,0;2000,0;0,015;5200475,231;1439156,029;0xE4EED94D818E8C4FAF97683394C1F7C0;24/06/2001 00:00:00
277;3;250000,0;2500,0;0,015;3857163,633;1997186,204;0x28290139ECBF4242874D423162C3F567;24/06/2001 00:00:00
278;6;250000,0;500,0;0,01;1764938,986;1620276,897;0xABE10A7A83B2F94091D1167ABF06D720;24/06/2001 00:00:00
279;5;300000,0;6700,0;0,01;2811012,715;1849640,942;0x9D17A55239325741AE2917E868296DC0;24/06/2001 00:00:00
280;1;250000,0;5000,0;0,01;0,0;1927059,178;0x4A1A94BE50FB4749BDA4BB8972365B08;24/06/2001 00:00:00
281;4;250000,0;3550,0;0,01;3018725,486;2073506,0;0xDB6D32357872EF4FB3BAEA137B69094E;24/06/2001 00:00:00
282;6;250000,0;5000,0;0,015;3189356,247;2038234,655;0xC17FFD3184DC054FB9A0762519EACACC;24/06/2001 00:00:00
283;1;250000,0;3500,0;0,012;3587378,426;1371635,316;0xB215AC6BFB8FA945B6D5040E16C2073F;24/06/2001 00:00:00
284;null;null;0,0;0,0;636440,251;0,0;0x89F6D11D74DF4941860059555EEF154B;11/05/2002 00:00:00
285;10;250000,0;5150,0;0,02;5015682,375;1635823,397;0x8D83F625B49D33489DDC7A24283AF1BA;24/06/2002 00:00:00
286;7;250000,0;985,0;0,016;3827950,238;2396539,76;0xD4E309F5C876AA42B35390B7B8DB08DE;24/06/2002 00:00:00
287;1;300000,0;3900,0;0,019;1931620,184;0,0;0x04EC94ACDCA2E3438654DD0C546ABC17;25/10/2002 00:00:00
288;null;null;0,0;0,0;219088,884;0,0;0x27EFDBCFF7B1564AA8780221C73BAE67;08/04/2003 00:00:00
289;8;250000,0;75,0;0,018;2241204,042;1307949,792;0x5AB24B22E3623E49ACAF4F8F5C72396A;24/06/2003 00:00:00
290;9;250000,0;5650,0;0,018;1758385,926;2278548,978;0x7787969BDC75BD45A8DF9CDAA72839E1;24/06/2003 00:00:00
