"CustomerID";"AddressID";"AddressTypeID";"rowguid";"ModifiedDate"
1;832;3;0x74254F31751F7F459BD174D1CE53DAA5;01/08/2001 00:00:00
2;297;5;0x80753EC30484F743A78321B927020B98;01/08/2002 00:00:00
2;833;3;0x215C43B47F4DE540ABEA4966428597D5;01/08/2002 00:00:00
3;559;3;0xFA291E99C2E77A48BDD833CA4A36F61B;01/09/2001 00:00:00
4;560;3;0x0E6640BFB6405B4999D0753CE987B1D1;01/07/2002 00:00:00
4;11380;5;0xBE97627C24EA3F43A03850E082D341B8;01/07/2002 00:00:00
5;988;3;0xACE668E9AE47044C8207443B842DE930;01/09/2002 00:00:00
6;989;3;0xFFD2B43D1F616C41A6E441292B13E04B;01/09/2003 00:00:00
7;990;3;0x41EBE53332F0E142AB6F3386454B4543;01/07/2002 00:00:00
8;908;3;0xDCAC4BF7A544DF4BB17D5960DC2523E3;01/08/2003 00:00:00
9;909;3;0xD016F169A3DBCE47B7DA6D135279AB7B;01/11/2002 00:00:00
10;445;3;0x6183E6405D48F445B18C282D13F4552E;01/09/2002 00:00:00
11;446;3;0xC5EBB1260F574B4DBAF2C8C855B94151;01/08/2001 00:00:00
12;447;3;0x439B5DE2ECED354EAA93B12417EF7A61;01/08/2002 00:00:00
13;675;3;0x6886D3FEE8AD014DBF5EA12F0084A8E0;01/08/2002 00:00:00
14;715;3;0x7C2AD08A912E214DA0A3849C8468C1EC;01/09/2003 00:00:00
15;405;3;0x26F50FB6DFEF0644BDC6FBEAC58643C4;01/09/2003 00:00:00
16;635;3;0xBD5EF8BFD0CCAA4DAFBBB415EDF44265;01/09/2002 00:00:00
17;755;3;0xBA04BF4FB1A7BF41B5F709DCBC265244;01/07/2001 00:00:00
18;756;3;0xC1EA2715FF491C4FA2BE69D42C6CC09A;01/08/2001 00:00:00
19;11;5;0x5A49883D6E774A41A91E6D8979A35D86;01/04/2003 00:00:00
19;834;3;0x2B7F046E7061BB478D148A0702D1EB17;01/04/2003 00:00:00
20;835;3;0x2D44B2602A5A8C408F1DB38BE02B91C9;01/09/2001 00:00:00
21;561;3;0x390F390050AD524894C98CC153FCB635;01/09/2002 00:00:00
22;562;3;0xC372831FE52A8B4790D2618E6C5B28F5;01/08/2001 00:00:00
