"ProductID";"ProductPhotoID";"Primary";"ModifiedDate"
1;1;true;02/05/1998 00:00:00
2;1;true;02/05/1998 00:00:00
3;1;true;02/05/1998 00:00:00
4;1;true;02/05/1998 00:00:00
316;1;true;02/05/1998 00:00:00
317;1;true;02/05/1998 00:00:00
318;1;true;02/05/1998 00:00:00
319;1;true;02/05/1998 00:00:00
320;1;true;02/05/1998 00:00:00
321;1;true;02/05/1998 00:00:00
322;1;true;02/05/1998 00:00:00
323;1;true;02/05/1998 00:00:00
324;1;true;02/05/1998 00:00:00
325;1;true;02/05/1998 00:00:00
326;1;true;02/05/1998 00:00:00
327;1;true;02/05/1998 00:00:00
328;1;true;02/05/1998 00:00:00
329;1;true;02/05/1998 00:00:00
330;1;true;02/05/1998 00:00:00
331;1;true;02/05/1998 00:00:00
332;160;true;02/05/1998 00:00:00
341;1;true;02/05/1998 00:00:00
342;1;true;02/05/1998 00:00:00
343;1;true;02/05/1998 00:00:00
344;1;true;02/05/1998 00:00:00
345;1;true;02/05/1998 00:00:00
346;1;true;02/05/1998 00:00:00
347;1;true;02/05/1998 00:00:00
348;1;true;02/05/1998 00:00:00
349;1;true;02/05/1998 00:00:00
350;1;true;02/05/1998 00:00:00
351;1;true;02/05/1998 00:00:00
352;1;true;02/05/1998 00:00:00
355;1;true;02/05/1998 00:00:00
356;1;true;02/05/1998 00:00:00
357;1;true;02/05/1998 00:00:00
358;1;true;02/05/1998 00:00:00
359;1;true;02/05/1998 00:00:00
360;1;true;02/05/1998 00:00:00
361;1;true;02/05/1998 00:00:00
362;1;true;02/05/1998 00:00:00
363;1;true;02/05/1998 00:00:00
364;1;true;02/05/1998 00:00:00
365;1;true;02/05/1998 00:00:00
366;1;true;02/05/1998 00:00:00
367;1;true;02/05/1998 00:00:00
368;1;true;02/05/1998 00:00:00
369;1;true;02/05/1998 00:00:00
370;1;true;02/05/1998 00:00:00
371;1;true;02/05/1998 00:00:00
372;1;true;02/05/1998 00:00:00
373;1;true;02/05/1998 00:00:00
374;1;true;02/05/1998 00:00:00
375;1;true;02/05/1998 00:00:00
376;1;true;02/05/1998 00:00:00
377;1;true;02/05/1998 00:00:00
378;1;true;02/05/1998 00:00:00
379;1;true;02/05/1998 00:00:00
380;1;true;02/05/1998 00:00:00
381;1;true;02/05/1998 00:00:00
382;1;true;02/05/1998 00:00:00
383;1;true;02/05/1998 00:00:00
384;1;true;02/05/1998 00:00:00
385;1;true;02/05/1998 00:00:00
386;1;true;02/05/1998 00:00:00
387;1;true;02/05/1998 00:00:00
388;1;true;02/05/1998 00:00:00
389;1;true;02/05/1998 00:00:00
390;1;true;02/05/1998 00:00:00
391;1;true;02/05/1998 00:00:00
392;1;true;02/05/1998 00:00:00
